survey11,hhid11,vehid,Ownership,FuelCost,HomeParking,wf11,version
bsh,115770010,1,1,1,1,17.036036,1
bsh,115770050,1,1,1,1,17.036036,1
bsh,115770050,2,1,1,1,17.036036,1
bsh,115770050,3,9,9,9,17.036036,1
bsh,115770050,4,9,9,9,17.036036,1
bsh,115770070,1,1,1,1,17.036036,1
bsh,115770070,2,1,1,1,17.036036,1
bsh,115770080,1,1,1,1,17.036036,1
bsh,115770080,2,1,1,1,17.036036,1
bsh,115770100,1,1,1,1,17.036036,1
bsh,115770100,2,1,1,1,17.036036,1
bsh,115770110,1,1,1,1,17.036036,1
bsh,115770110,2,1,1,1,17.036036,1
bsh,115770160,1,1,1,1,17.036036,1
bsh,115770170,1,1,1,1,17.036036,1
bsh,115770170,2,1,1,1,17.036036,1
bsh,115770180,1,1,1,1,17.036036,1
bsh,115770210,1,1,1,1,17.036036,1
bsh,115770240,1,1,1,1,17.036036,1
bsh,115770240,2,1,1,1,17.036036,1
bsh,115770240,3,1,1,1,17.036036,1
bsh,115770250,1,1,1,1,17.036036,1
bsh,115770250,2,1,1,1,17.036036,1
bsh,115770280,1,1,2,1,17.036036,1
bsh,115770280,2,1,1,1,17.036036,1
bsh,115770330,1,1,1,1,17.036036,1
bsh,115770360,1,1,1,1,17.036036,1
bsh,115770400,1,1,1,1,17.036036,1
bsh,115770400,2,1,1,1,17.036036,1
bsh,115770420,1,1,1,1,17.036036,1
bsh,115770430,1,1,1,1,17.036036,1
bsh,115770460,1,1,1,1,17.036036,1
bsh,115770470,1,1,1,1,17.036036,1
bsh,115770480,1,1,1,1,17.036036,1
bsh,115770490,1,1,1,1,17.036036,1
bsh,115770520,1,1,1,1,17.036036,1
bsh,115770530,1,1,1,1,17.036036,1
bsh,115770540,1,1,1,1,17.036036,1
bsh,115770560,1,1,1,1,17.036036,1
bsh,115770560,2,1,1,1,17.036036,1
bsh,115770570,1,1,1,1,17.036036,1
bsh,115770750,1,1,1,1,17.036036,1
bsh,115770820,1,1,1,1,17.036036,1
bsh,115770830,1,1,1,1,17.036036,1
bsh,15520020,1,1,1,1,17.036036,1
bsh,15520020,2,1,1,2,17.036036,1
bsh,15520020,3,1,1,2,17.036036,1
bsh,15520030,1,1,1,1,17.036036,1
bsh,15520040,1,1,1,2,17.036036,1
bsh,15520040,2,1,1,1,17.036036,1
bsh,15520070,1,2,2,2,17.036036,1
bsh,15520070,2,1,1,2,17.036036,1
bsh,15520090,1,1,1,1,17.036036,1
bsh,15520090,2,1,1,1,17.036036,1
bsh,15520110,1,1,1,2,17.036036,1
bsh,15520110,2,1,1,1,17.036036,1
bsh,15520130,1,2,2,1,17.036036,1
bsh,15520140,1,2,2,1,17.036036,1
bsh,15520160,1,1,1,2,17.036036,1
bsh,15520170,1,1,1,2,17.036036,1
bsh,15520170,2,1,1,1,17.036036,1
bsh,15520190,1,2,2,1,17.036036,1
bsh,15520200,1,1,1,2,17.036036,1
