survey1,survey_num,hhid,sector,hhsize,HHChild8,hhveh,hhmicroveh,days,day1,day2,wf1,hhSemel,Yshuvtype,Mahoz,Gizra,hhtaz,Mosad,HHType,HHMembers,year,version
bsh,1,5042340,1,3,0,1,,1,14/06/2015,,37.029999,7100,1,6,961,2565,,22,|3|3|4|,2015,1
bsh,1,5042360,2,7,2,1,,1,11/06/2015,,37.029999,7100,1,6,961,2564,,22,|3|3|4|4|4|4|4|,2015,1
bsh,1,5042400,1,5,1,1,,1,11/06/2015,,37.029999,7100,1,6,961,2564,,22,|3|3|4|4|4|,2015,1
bsh,1,5042420,1,2,0,1,,1,15/06/2015,,37.029999,7100,1,6,961,2564,,21,|2|2|,2015,1
bsh,1,5044130,1,2,0,1,,1,11/06/2015,,42.389999,7100,1,6,961,2499,,23,|4|3|,2015,1
bsh,1,5044140,1,5,0,1,,1,11/06/2015,,42.389999,7100,1,6,961,2499,,22,|3|3|4|4|4|,2015,1
bsh,1,5044190,1,5,3,1,,1,16/06/2015,,42.389999,7100,1,6,961,2499,,22,|3|3|4|4|4|,2015,1
bsh,1,5044220,1,6,4,1,,1,11/06/2015,,42.389999,7100,1,6,961,2499,,22,|3|3|4|4|4|4|,2015,1
bsh,1,5044230,1,4,1,1,,1,11/06/2015,,42.389999,7100,1,6,961,2499,,22,|3|3|4|4|,2015,1
bsh,1,5044370,1,5,3,1,,1,17/06/2015,,51.919998,7100,1,6,961,2500,,22,|3|3|4|4|4|,2015,1
bsh,1,5044700,1,1,0,0,,1,08/06/2015,,34.330002,7100,1,6,961,2503,,10,|1|,2015,1
bsh,1,5044720,1,1,0,1,,1,04/06/2015,,34.330002,7100,1,6,961,2503,,10,|1|,2015,1
bsh,1,5044730,1,4,0,0,,1,02/06/2015,,34.330002,7100,1,6,961,2503,,23,|3|4|4|4|,2015,1
bsh,1,5044770,1,1,0,0,,1,02/06/2015,,34.330002,7100,1,6,961,2503,,10,|1|,2015,1
bsh,1,5044820,1,1,0,0,,1,07/06/2015,,34.330002,7100,1,6,961,2503,,10,|1|,2015,1
bsh,1,5045320,1,5,3,1,,1,09/06/2015,,49.290001,7100,1,6,961,2505,,22,|3|3|4|4|4|,2015,1
bsh,1,5045390,1,1,0,0,,1,02/06/2015,,49.290001,7100,1,6,961,2505,,10,|1|,2015,1
bsh,1,5045440,1,2,0,0,,1,01/06/2015,,49.290001,7100,1,6,961,2505,,33,|9|9|,2015,1
bsh,1,5045450,1,5,1,0,,1,07/06/2015,,49.290001,7100,1,6,961,2505,,23,|3|4|4|4|4|,2015,1
bsh,1,5046950,1,6,4,0,,1,04/06/2015,,68.589996,7100,1,6,961,2501,,22,|3|3|4|4|4|4|,2015,1
bsh,1,5047010,1,2,1,0,,1,07/06/2015,,68.589996,7100,1,6,961,2501,,23,|3|4|,2015,1
bsh,1,5047060,1,1,0,0,,1,07/06/2015,,68.589996,7100,1,6,961,2501,,10,|1|,2015,1
bsh,1,5047120,1,6,3,1,,1,09/06/2015,,68.589996,7100,1,6,961,2501,,22,|3|3|6|4|4|4|,2015,1
bsh,1,5047150,1,2,0,0,,1,09/06/2015,,68.589996,7100,1,6,961,2501,,23,|4|3|,2015,1
bsh,1,5047250,1,2,0,0,,1,02/06/2015,,68.589996,7100,1,6,961,2501,,21,|2|2|,2015,1
bsh,1,5047430,1,2,0,1,,1,27/05/2015,,57.290001,7100,1,6,961,2502,,23,|3|4|,2015,1
bsh,1,5047500,1,5,2,1,,1,03/06/2015,,57.290001,7100,1,6,961,2502,,22,|3|3|4|4|4|,2015,1
bsh,1,5047610,1,3,0,1,,1,09/06/2015,,57.290001,7100,1,6,961,2502,,22,|3|3|4|,2015,1
bsh,1,5047730,1,3,1,1,,1,04/06/2015,,57.290001,7100,1,6,961,2502,,22,|3|3|4|,2015,1
